EF10_12_5T_B_sample_4
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 1kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,-0.000170,-0.000000,0.000087,0.000000,0.000087
0.100000,0.007280,0.025560,-0.000243,-0.013018,-0.000243,-0.013014
0.200000,0.028070,0.055840,-0.000936,-0.028439,-0.000936,-0.028412
0.300000,0.046310,0.089990,-0.001544,-0.045832,-0.001545,-0.045761
0.400000,0.063280,0.123720,-0.002109,-0.063010,-0.002112,-0.062877
0.500000,0.080030,0.150590,-0.002668,-0.076695,-0.002671,-0.076490
0.600000,0.096680,0.189460,-0.003223,-0.096491,-0.003228,-0.096180
0.700000,0.113340,0.224040,-0.003778,-0.114103,-0.003785,-0.113672
0.800000,0.130090,0.255250,-0.004336,-0.129998,-0.004346,-0.129434
0.900000,0.146700,0.297160,-0.004890,-0.151342,-0.004902,-0.150602
1.000000,0.163290,0.332480,-0.005443,-0.169331,-0.005458,-0.168409
1.100000,0.179980,0.366950,-0.005999,-0.186886,-0.006017,-0.185765
1.200000,0.196660,0.407700,-0.006555,-0.207640,-0.006577,-0.206279
1.300000,0.213380,0.445910,-0.007113,-0.227100,-0.007138,-0.225485
1.400000,0.230000,0.485240,-0.007667,-0.247131,-0.007696,-0.245236
1.500000,0.246620,0.521800,-0.008221,-0.265751,-0.008255,-0.263566
1.600000,0.263280,0.559360,-0.008776,-0.284880,-0.008815,-0.282380
1.700000,0.280000,0.597130,-0.009333,-0.304116,-0.009377,-0.301277
1.800000,0.296660,0.638690,-0.009889,-0.325282,-0.009938,-0.322066
1.900000,0.313220,0.685140,-0.010441,-0.348939,-0.010496,-0.345296
2.000000,0.329900,0.720000,-0.010997,-0.366693,-0.011058,-0.362661
2.100000,0.346610,0.748020,-0.011554,-0.380963,-0.011621,-0.376562
2.200000,0.363290,0.794150,-0.012110,-0.404457,-0.012184,-0.399559
2.300000,0.379930,0.832940,-0.012664,-0.424213,-0.012745,-0.418840
2.400000,0.396580,0.868450,-0.013219,-0.442298,-0.013307,-0.436451
2.500000,0.413260,0.907020,-0.013775,-0.461941,-0.013871,-0.455578
2.600000,0.429950,0.948790,-0.014332,-0.483215,-0.014435,-0.476290
2.700000,0.446590,0.986970,-0.014886,-0.502660,-0.014998,-0.495177
2.800000,0.463230,1.021760,-0.015441,-0.520378,-0.015561,-0.512343
2.900000,0.479890,1.070840,-0.015996,-0.545374,-0.016126,-0.536650
3.000000,0.496570,1.106090,-0.016552,-0.563327,-0.016691,-0.554003
3.100000,0.513300,1.144290,-0.017110,-0.582782,-0.017258,-0.572811
3.200000,0.529900,1.182410,-0.017663,-0.602196,-0.017821,-0.591560
3.300000,0.546530,1.227040,-0.018218,-0.624926,-0.018386,-0.613542
3.400000,0.563250,1.264340,-0.018775,-0.643923,-0.018953,-0.631833
3.500000,0.579930,1.301710,-0.019331,-0.662955,-0.019520,-0.650140
3.600000,0.596550,1.338610,-0.019885,-0.681748,-0.020085,-0.668192
3.700000,0.613190,1.380710,-0.020440,-0.703190,-0.020651,-0.688817
3.800000,0.629880,1.424710,-0.020996,-0.725599,-0.021220,-0.710364
3.900000,0.646610,1.465740,-0.021554,-0.746495,-0.021789,-0.730406
4.000000,0.663260,1.500320,-0.022109,-0.764107,-0.022357,-0.747213
4.100000,0.679940,1.541770,-0.022665,-0.785217,-0.022925,-0.767420
4.200000,0.696570,1.584020,-0.023219,-0.806735,-0.023493,-0.788003
4.300000,0.713280,1.625720,-0.023776,-0.827972,-0.024063,-0.808287
4.400000,0.729930,1.662070,-0.024331,-0.846485,-0.024632,-0.825889
4.500000,0.746550,1.705290,-0.024885,-0.868497,-0.025200,-0.846885
4.600000,0.763220,1.743820,-0.025441,-0.888120,-0.025770,-0.865526
4.700000,0.779880,1.784480,-0.025996,-0.908828,-0.026340,-0.885202
4.800000,0.796610,1.818540,-0.026554,-0.926175,-0.026913,-0.901581
4.900000,0.813300,1.864440,-0.027110,-0.949551,-0.027484,-0.923809
5.000000,0.829940,1.903400,-0.027665,-0.969394,-0.028055,-0.942576
5.100000,0.846610,1.933390,-0.028220,-0.984667,-0.028626,-0.956880
5.200000,0.863290,1.982620,-0.028776,-1.009740,-0.029198,-0.980683
5.300000,0.879930,2.024290,-0.029331,-1.030962,-0.029770,-1.000723
5.400000,0.896550,2.068390,-0.029885,-1.053422,-0.030341,-1.021941
5.500000,0.913240,2.102920,-0.030441,-1.071008,-0.030914,-1.038405
5.600000,0.929910,2.139910,-0.030997,-1.089847,-0.031488,-1.056065
5.700000,0.946610,2.180000,-0.031554,-1.110265,-0.032062,-1.075232
5.800000,0.963190,2.219160,-0.032106,-1.130209,-0.032633,-1.093922
5.900000,0.979850,2.267050,-0.032662,-1.154599,-0.033207,-1.116888
