EF10_37_5T_A_sample_3
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 1kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,-0.002340,-0.000000,0.001192,0.000000,0.001192
0.100000,0.006720,0.015920,-0.000224,-0.008108,-0.000224,-0.008106
0.200000,0.027700,0.046840,-0.000923,-0.023855,-0.000924,-0.023833
0.300000,0.046340,0.065470,-0.001545,-0.033344,-0.001546,-0.033292
0.400000,0.063240,0.101810,-0.002108,-0.051851,-0.002110,-0.051742
0.500000,0.079980,0.122300,-0.002666,-0.062287,-0.002670,-0.062121
0.600000,0.096720,0.146220,-0.003224,-0.074469,-0.003229,-0.074229
0.700000,0.113390,0.167680,-0.003780,-0.085399,-0.003787,-0.085076
0.800000,0.130100,0.194290,-0.004337,-0.098951,-0.004346,-0.098522
0.900000,0.146670,0.214780,-0.004889,-0.109387,-0.004901,-0.108852
1.000000,0.163320,0.236210,-0.005444,-0.120301,-0.005459,-0.119646
1.100000,0.180060,0.264270,-0.006002,-0.134592,-0.006020,-0.133784
1.200000,0.196700,0.281340,-0.006557,-0.143285,-0.006578,-0.142346
1.300000,0.213290,0.301880,-0.007110,-0.153746,-0.007135,-0.152653
1.400000,0.230000,0.331900,-0.007667,-0.169035,-0.007696,-0.167739
1.500000,0.246690,0.352970,-0.008223,-0.179766,-0.008257,-0.178288
1.600000,0.263380,0.371070,-0.008779,-0.188984,-0.008818,-0.187325
1.700000,0.279990,0.393180,-0.009333,-0.200245,-0.009377,-0.198376
1.800000,0.296630,0.414040,-0.009888,-0.210869,-0.009937,-0.208784
1.900000,0.313280,0.439010,-0.010443,-0.223586,-0.010498,-0.221251
2.000000,0.330010,0.460080,-0.011000,-0.234317,-0.011061,-0.231739
2.100000,0.346640,0.484860,-0.011555,-0.246937,-0.011622,-0.244084
2.200000,0.363260,0.502960,-0.012109,-0.256155,-0.012183,-0.253054
2.300000,0.379930,0.533750,-0.012664,-0.271837,-0.012745,-0.268394
2.400000,0.396600,0.545580,-0.013220,-0.277862,-0.013308,-0.274188
2.500000,0.413320,0.574070,-0.013777,-0.292371,-0.013873,-0.288343
2.600000,0.429990,0.595210,-0.014333,-0.303138,-0.014437,-0.298793
2.700000,0.446600,0.612310,-0.014887,-0.311847,-0.014999,-0.307205
2.800000,0.463280,0.637680,-0.015443,-0.324768,-0.015563,-0.319752
2.900000,0.479970,0.654620,-0.015999,-0.333395,-0.016128,-0.328061
3.000000,0.496600,0.683760,-0.016553,-0.348236,-0.016692,-0.342472
3.100000,0.513230,0.698880,-0.017108,-0.355937,-0.017256,-0.349847
3.200000,0.529920,0.728570,-0.017664,-0.371058,-0.017822,-0.364503
3.300000,0.546590,0.749340,-0.018220,-0.381636,-0.018388,-0.374682
3.400000,0.563270,0.766750,-0.018776,-0.390503,-0.018954,-0.383171
3.500000,0.579840,0.790360,-0.019328,-0.402527,-0.019517,-0.394747
3.600000,0.596530,0.814250,-0.019884,-0.414694,-0.020085,-0.406448
3.700000,0.613220,0.835190,-0.020441,-0.425359,-0.020652,-0.416664
3.800000,0.629940,0.853200,-0.020998,-0.434531,-0.021222,-0.425407
3.900000,0.646540,0.880990,-0.021551,-0.448685,-0.021787,-0.439015
4.000000,0.663200,0.903430,-0.022107,-0.460113,-0.022355,-0.449942
4.100000,0.679890,0.919940,-0.022663,-0.468522,-0.022924,-0.457903
4.200000,0.696600,0.938380,-0.023220,-0.477913,-0.023494,-0.466816
4.300000,0.713300,0.958500,-0.023777,-0.488160,-0.024064,-0.476553
4.400000,0.729950,0.987220,-0.024332,-0.502787,-0.024633,-0.490553
4.500000,0.746620,1.006210,-0.024887,-0.512459,-0.025202,-0.499705
4.600000,0.763290,1.038390,-0.025443,-0.528848,-0.025772,-0.515392
4.700000,0.779960,1.052140,-0.025999,-0.535851,-0.026343,-0.521919
4.800000,0.796570,1.064420,-0.026552,-0.542105,-0.026911,-0.527711
4.900000,0.813230,1.097220,-0.027108,-0.558810,-0.027482,-0.543662
5.000000,0.829900,1.115770,-0.027663,-0.568257,-0.028053,-0.552537
5.100000,0.846580,1.131680,-0.028219,-0.576360,-0.028625,-0.560095
5.200000,0.863230,1.160700,-0.028774,-0.591140,-0.029196,-0.574130
5.300000,0.879890,1.186630,-0.029330,-0.604346,-0.029768,-0.586620
5.400000,0.896570,1.202440,-0.029886,-0.612398,-0.030341,-0.594096
5.500000,0.913270,1.225320,-0.030442,-0.624050,-0.030915,-0.605053
5.600000,0.929940,1.244410,-0.030998,-0.633773,-0.031489,-0.614127
5.700000,0.946520,1.265020,-0.031551,-0.644269,-0.032059,-0.623942
5.800000,0.963250,1.282060,-0.032108,-0.652948,-0.032635,-0.631983
5.900000,0.979940,1.308350,-0.032665,-0.666337,-0.033210,-0.644572
6.000000,0.996610,1.333270,-0.033220,-0.679029,-0.033785,-0.656471
6.100000,1.013270,1.358620,-0.033776,-0.691939,-0.034359,-0.668569
6.200000,1.029920,1.381830,-0.034331,-0.703760,-0.034934,-0.679600
6.300000,1.046580,1.400560,-0.034886,-0.713299,-0.035509,-0.688415
6.400000,1.063290,1.432530,-0.035443,-0.729582,-0.036086,-0.703723
6.500000,1.079940,1.445110,-0.035998,-0.735988,-0.036662,-0.709494
6.600000,1.096530,1.478640,-0.036551,-0.753065,-0.037236,-0.725540
6.700000,1.113270,1.491190,-0.037109,-0.759457,-0.037815,-0.731274
6.800000,1.129930,1.518300,-0.037664,-0.773264,-0.038392,-0.744139
6.900000,1.146590,1.543330,-0.038220,-0.786012,-0.038969,-0.755970
7.000000,1.163200,1.564570,-0.038773,-0.796829,-0.039545,-0.765933
7.100000,1.179880,1.582420,-0.039329,-0.805920,-0.040124,-0.774224
7.200000,1.196590,1.602180,-0.039886,-0.815984,-0.040704,-0.783437
7.300000,1.213260,1.630830,-0.040442,-0.830575,-0.041283,-0.796985
7.400000,1.229930,1.652090,-0.040998,-0.841403,-0.041862,-0.806907
7.500000,1.246560,1.681250,-0.041552,-0.856254,-0.042440,-0.820675
7.600000,1.263290,1.704810,-0.042110,-0.868253,-0.043022,-0.831691
7.700000,1.279980,1.723950,-0.042666,-0.878001,-0.043603,-0.840540
7.800000,1.296650,1.741700,-0.043222,-0.887041,-0.044184,-0.848701
7.900000,1.313210,1.770600,-0.043774,-0.901759,-0.044761,-0.862286
8.000000,1.329900,1.792210,-0.044330,-0.912765,-0.045343,-0.872302
8.100000,1.346600,1.815880,-0.044887,-0.924820,-0.045925,-0.883308
8.200000,1.363260,1.841480,-0.045442,-0.937858,-0.046507,-0.895240
8.300000,1.379850,1.861050,-0.045995,-0.947825,-0.047086,-0.904230
8.400000,1.396550,1.885360,-0.046552,-0.960206,-0.047670,-0.915507
8.500000,1.413270,1.904060,-0.047109,-0.969730,-0.048255,-0.924047
8.600000,1.429930,1.927700,-0.047664,-0.981770,-0.048838,-0.934974
8.700000,1.446600,1.950530,-0.048220,-0.993397,-0.049421,-0.945495
8.800000,1.463180,1.968270,-0.048773,-1.002432,-0.050002,-0.953540
8.900000,1.479890,1.993470,-0.049330,-1.015266,-0.050588,-0.965183
9.000000,1.496600,2.017950,-0.049887,-1.027733,-0.051174,-0.976463
9.100000,1.513260,2.040760,-0.050442,-1.039351,-0.051759,-0.986924
9.200000,1.529860,2.063880,-0.050995,-1.051125,-0.052342,-0.997523
9.300000,1.546540,2.084830,-0.051551,-1.061795,-0.052928,-1.007058
9.400000,1.563280,2.117250,-0.052109,-1.078307,-0.053516,-1.022117
9.500000,1.579930,2.134110,-0.052664,-1.086893,-0.054102,-1.029653
9.600000,1.596590,2.153790,-0.053220,-1.096916,-0.054688,-1.038539
9.700000,1.613220,2.183740,-0.053774,-1.112170,-0.055274,-1.052364
9.800000,1.629960,2.198800,-0.054332,-1.119840,-0.055864,-1.058997
9.900000,1.646550,2.233100,-0.054885,-1.137308,-0.056449,-1.074887
10.000000,1.663240,2.254800,-0.055441,-1.148360,-0.057037,-1.084694
10.100000,1.679870,2.275350,-0.055996,-1.158826,-0.057625,-1.093937
10.200000,1.696560,2.298840,-0.056552,-1.170790,-0.058214,-1.104579
10.300000,1.713260,2.312570,-0.057109,-1.177782,-0.058804,-1.110521
10.400000,1.729880,2.338060,-0.057663,-1.190764,-0.059392,-1.122102
10.500000,1.746500,2.360880,-0.058217,-1.202386,-0.059980,-1.132387
10.600000,1.763180,2.383130,-0.058773,-1.213718,-0.060571,-1.142385
10.700000,1.779910,2.408240,-0.059330,-1.226507,-0.061163,-1.153738
10.800000,1.796620,2.439100,-0.059887,-1.242223,-0.061756,-1.167830
10.900000,1.813250,2.448820,-0.060442,-1.247174,-0.062345,-1.171793
11.000000,1.829900,2.479450,-0.060997,-1.262774,-0.062936,-1.185749
11.100000,1.846580,2.503800,-0.061553,-1.275175,-0.063529,-1.196684
11.200000,1.863290,2.519190,-0.062110,-1.283013,-0.064122,-1.203325
11.300000,1.879960,2.546460,-0.062665,-1.296901,-0.064715,-1.215631
11.400000,1.896560,2.566380,-0.063219,-1.307047,-0.065305,-1.224417
11.500000,1.913200,2.599650,-0.063773,-1.323991,-0.065898,-1.239556
11.600000,1.929920,2.606890,-0.064331,-1.327678,-0.066493,-1.242268
11.700000,1.946580,2.639180,-0.064886,-1.344123,-0.067087,-1.256909
11.800000,1.963220,2.656440,-0.065441,-1.352914,-0.067680,-1.264378
11.900000,1.979890,2.683270,-0.065996,-1.366578,-0.068275,-1.276389
12.000000,1.996570,2.706600,-0.066552,-1.378460,-0.068870,-1.286720
12.100000,2.013240,2.727490,-0.067108,-1.389099,-0.069466,-1.295880
12.200000,2.029840,2.748610,-0.067661,-1.399856,-0.070059,-1.305139
12.300000,2.046560,2.782140,-0.068219,-1.416932,-0.070657,-1.320271
