EF30_50T_B_sample_3
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 10kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,0.008300,-0.000000,-0.004227,0.000000,-0.004227
0.100000,0.007710,0.005420,-0.000257,-0.002760,-0.000257,-0.002760
0.200000,0.028110,0.058890,-0.000937,-0.029992,-0.000937,-0.029964
0.300000,0.046380,0.087740,-0.001546,-0.044686,-0.001547,-0.044617
0.400000,0.063300,0.099990,-0.002110,-0.050924,-0.002112,-0.050817
0.500000,0.079960,0.145890,-0.002665,-0.074301,-0.002669,-0.074103
0.600000,0.096650,0.159820,-0.003222,-0.081396,-0.003227,-0.081133
0.700000,0.113350,0.159250,-0.003778,-0.081105,-0.003785,-0.080799
0.800000,0.130020,0.237920,-0.004334,-0.121172,-0.004343,-0.120647
0.900000,0.146630,0.253090,-0.004888,-0.128898,-0.004900,-0.128268
1.000000,0.163270,0.249010,-0.005442,-0.126820,-0.005457,-0.126130
1.100000,0.179940,0.258200,-0.005998,-0.131500,-0.006016,-0.130711
1.200000,0.196660,0.332330,-0.006555,-0.169254,-0.006577,-0.168145
1.300000,0.213340,0.365250,-0.007111,-0.186020,-0.007137,-0.184697
1.400000,0.229940,0.363550,-0.007665,-0.185154,-0.007694,-0.183735
1.500000,0.246640,0.416840,-0.008221,-0.212295,-0.008255,-0.210550
1.600000,0.263360,0.437380,-0.008779,-0.222756,-0.008817,-0.220800
1.700000,0.279990,0.466890,-0.009333,-0.237785,-0.009377,-0.235566
1.800000,0.296560,0.511990,-0.009885,-0.260754,-0.009935,-0.258177
1.900000,0.313260,0.520100,-0.010442,-0.264885,-0.010497,-0.262119
2.000000,0.329950,0.568860,-0.010998,-0.289718,-0.011059,-0.286532
2.100000,0.346630,0.570090,-0.011554,-0.290344,-0.011622,-0.286990
2.200000,0.363300,0.630190,-0.012110,-0.320953,-0.012184,-0.317066
2.300000,0.379910,0.661210,-0.012664,-0.336751,-0.012745,-0.332487
2.400000,0.396580,0.686950,-0.013219,-0.349861,-0.013307,-0.345236
2.500000,0.413240,0.689650,-0.013775,-0.351236,-0.013870,-0.346398
2.600000,0.429960,0.732400,-0.014332,-0.373008,-0.014436,-0.367662
2.700000,0.446580,0.779480,-0.014886,-0.396986,-0.014998,-0.391076
2.800000,0.463260,0.790310,-0.015442,-0.402502,-0.015562,-0.396286
2.900000,0.479950,0.828150,-0.015998,-0.421773,-0.016128,-0.415026
3.000000,0.496600,0.860750,-0.016553,-0.438376,-0.016692,-0.431120
3.100000,0.513240,0.892600,-0.017108,-0.454597,-0.017256,-0.446820
3.200000,0.529840,0.901700,-0.017661,-0.459232,-0.017819,-0.451121
3.300000,0.546570,0.945830,-0.018219,-0.481707,-0.018387,-0.472931
3.400000,0.563260,0.989680,-0.018775,-0.504040,-0.018954,-0.494576
3.500000,0.579930,1.053130,-0.019331,-0.536355,-0.019520,-0.525986
3.600000,0.596580,1.079900,-0.019886,-0.549989,-0.020086,-0.539051
3.700000,0.613270,1.086610,-0.020442,-0.553406,-0.020654,-0.542093
3.800000,0.629930,1.122820,-0.020998,-0.571848,-0.021221,-0.559840
3.900000,0.646620,1.157720,-0.021554,-0.589622,-0.021790,-0.576913
4.000000,0.663260,1.210650,-0.022109,-0.616579,-0.022357,-0.602947
4.100000,0.679940,1.189540,-0.022665,-0.605828,-0.022925,-0.592097
4.200000,0.696660,1.249470,-0.023222,-0.636350,-0.023496,-0.621573
4.300000,0.713320,1.290690,-0.023777,-0.657343,-0.024065,-0.641713
4.400000,0.729930,1.362350,-0.024331,-0.693839,-0.024632,-0.676957
4.500000,0.746520,1.348670,-0.024884,-0.686872,-0.025199,-0.669780
4.600000,0.763240,1.398480,-0.025441,-0.712240,-0.025771,-0.694120
4.700000,0.779900,1.451580,-0.025997,-0.739284,-0.026341,-0.720065
4.800000,0.796580,1.462730,-0.026553,-0.744962,-0.026912,-0.725182
4.900000,0.813190,1.520590,-0.027106,-0.774430,-0.027480,-0.753438
5.000000,0.829840,1.546430,-0.027661,-0.787590,-0.028051,-0.765805
5.100000,0.846550,1.569280,-0.028218,-0.799228,-0.028624,-0.776675
5.200000,0.863270,1.620330,-0.028776,-0.825227,-0.029198,-0.801481
5.300000,0.879910,1.659930,-0.029330,-0.845395,-0.029769,-0.820600
5.400000,0.896540,1.688400,-0.029885,-0.859895,-0.030340,-0.834197
5.500000,0.913270,1.707670,-0.030442,-0.869709,-0.030915,-0.843233
5.600000,0.929940,1.768660,-0.030998,-0.900771,-0.031489,-0.872849
5.700000,0.946620,1.789320,-0.031554,-0.911293,-0.032063,-0.882538
5.800000,0.963240,1.831270,-0.032108,-0.932658,-0.032635,-0.902712
5.900000,0.979940,1.859810,-0.032665,-0.947193,-0.033210,-0.916254
6.000000,0.996620,1.895120,-0.033221,-0.965177,-0.033785,-0.933113
6.100000,1.013270,1.946820,-0.033776,-0.991507,-0.034359,-0.958018
6.200000,1.029890,1.977040,-0.034330,-1.006898,-0.034933,-0.972332
6.300000,1.046580,2.015320,-0.034886,-1.026394,-0.035509,-0.990587
6.400000,1.063260,2.064340,-0.035442,-1.051360,-0.036085,-1.014097
6.500000,1.079920,2.100330,-0.035997,-1.069689,-0.036661,-1.031183
6.600000,1.096560,2.123010,-0.036552,-1.081240,-0.037237,-1.041719
6.700000,1.113150,2.155130,-0.037105,-1.097599,-0.037811,-1.056872
6.800000,1.129900,2.193340,-0.037663,-1.117059,-0.038391,-1.074987
6.900000,1.146680,2.221460,-0.038223,-1.131380,-0.038972,-1.088136
7.000000,1.163330,2.272740,-0.038778,-1.157497,-0.039550,-1.112612
7.100000,1.179900,2.273340,-0.039330,-1.157803,-0.040124,-1.112266
7.200000,1.196610,2.368970,-0.039887,-1.206507,-0.040704,-1.158383
7.300000,1.213350,2.374850,-0.040445,-1.209501,-0.041286,-1.160583
7.400000,1.229930,2.425660,-0.040998,-1.235378,-0.041862,-1.184731
7.500000,1.246570,2.437680,-0.041552,-1.241500,-0.042440,-1.189913
7.600000,1.263220,2.483420,-0.042107,-1.264795,-0.043020,-1.211538
7.700000,1.279900,2.543710,-0.042663,-1.295501,-0.043600,-1.240230
7.800000,1.296610,2.600060,-0.043220,-1.324200,-0.044182,-1.266967
7.900000,1.313300,2.612140,-0.043777,-1.330352,-0.044764,-1.272114
8.000000,1.329880,2.654400,-0.044329,-1.351875,-0.045342,-1.291947
8.100000,1.346570,2.660760,-0.044886,-1.355114,-0.045924,-1.294289
8.200000,1.363260,2.684330,-0.045442,-1.367118,-0.046507,-1.304993
8.300000,1.379920,2.759960,-0.045997,-1.405636,-0.047089,-1.340981
8.400000,1.396530,2.805900,-0.046551,-1.429033,-0.047669,-1.362510
8.500000,1.413210,2.817500,-0.047107,-1.434941,-0.048253,-1.367345
8.600000,1.429900,2.873720,-0.047663,-1.463574,-0.048837,-1.393815
8.700000,1.446560,2.901350,-0.048219,-1.477645,-0.049420,-1.406395
8.800000,1.463220,2.968620,-0.048774,-1.511906,-0.050004,-1.438164
8.900000,1.479880,2.963360,-0.049329,-1.509227,-0.050588,-1.434778
9.000000,1.496560,3.043290,-0.049885,-1.549935,-0.051173,-1.472616
9.100000,1.513260,3.051820,-0.050442,-1.554279,-0.051759,-1.475878
9.200000,1.529920,3.109670,-0.050997,-1.583742,-0.052344,-1.502975
9.300000,1.546530,3.136480,-0.051551,-1.597396,-0.052927,-1.515049
9.400000,1.563250,3.162260,-0.052108,-1.610526,-0.053515,-1.526604
9.500000,1.579970,3.215420,-0.052666,-1.637600,-0.054103,-1.551355
9.600000,1.596610,3.242780,-0.053220,-1.651534,-0.054689,-1.563639
9.700000,1.613230,3.292500,-0.053774,-1.676856,-0.055274,-1.586685
9.800000,1.629910,3.315310,-0.054330,-1.688474,-0.055862,-1.596738
9.900000,1.646560,3.346410,-0.054885,-1.704313,-0.056449,-1.610771
