EF50_0T_A_sample_2
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 10kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,0.034120,-0.000000,-0.017377,0.000000,-0.017377
0.100000,0.007540,0.011190,-0.000251,-0.005699,-0.000251,-0.005698
0.200000,0.027880,0.042860,-0.000929,-0.021828,-0.000930,-0.021808
0.300000,0.046230,0.015650,-0.001541,-0.007970,-0.001542,-0.007958
0.400000,0.063250,0.083780,-0.002108,-0.042669,-0.002111,-0.042579
0.500000,0.079960,0.127030,-0.002665,-0.064696,-0.002669,-0.064523
0.600000,0.096670,0.102470,-0.003222,-0.052188,-0.003228,-0.052019
0.700000,0.113260,0.188660,-0.003775,-0.096084,-0.003782,-0.095721
0.800000,0.129970,0.261620,-0.004332,-0.133242,-0.004342,-0.132665
0.900000,0.146660,0.270110,-0.004889,-0.137566,-0.004901,-0.136893
1.000000,0.163290,0.323200,-0.005443,-0.164604,-0.005458,-0.163708
1.100000,0.179990,0.368250,-0.006000,-0.187548,-0.006018,-0.186423
1.200000,0.196610,0.467350,-0.006554,-0.238019,-0.006575,-0.236460
1.300000,0.213330,0.502310,-0.007111,-0.255824,-0.007136,-0.254005
1.400000,0.230000,0.593320,-0.007667,-0.302175,-0.007696,-0.299859
1.500000,0.246710,0.683010,-0.008224,-0.347854,-0.008258,-0.344994
1.600000,0.263280,0.751900,-0.008776,-0.382940,-0.008815,-0.379579
1.700000,0.279960,0.912580,-0.009332,-0.464773,-0.009376,-0.460436
1.800000,0.296610,1.016200,-0.009887,-0.517546,-0.009936,-0.512429
1.900000,0.313270,1.140370,-0.010442,-0.580786,-0.010497,-0.574721
2.000000,0.329910,1.338560,-0.010997,-0.681723,-0.011058,-0.674226
2.100000,0.346590,1.417050,-0.011553,-0.721698,-0.011620,-0.713360
2.200000,0.363280,1.600780,-0.012109,-0.815271,-0.012183,-0.805398
2.300000,0.379970,1.753940,-0.012666,-0.893274,-0.012747,-0.881960
2.400000,0.396640,1.906980,-0.013221,-0.971217,-0.013310,-0.958376
2.500000,0.413270,2.098210,-0.013776,-1.068610,-0.013871,-1.053889
2.600000,0.429910,2.233080,-0.014330,-1.137298,-0.014434,-1.121000
2.700000,0.446610,2.399690,-0.014887,-1.222152,-0.014999,-1.203958
2.800000,0.463320,2.554240,-0.015444,-1.300864,-0.015565,-1.280773
2.900000,0.479900,2.733050,-0.015997,-1.391931,-0.016126,-1.369665
3.000000,0.496520,2.892120,-0.016551,-1.472945,-0.016689,-1.448566
3.100000,0.513240,3.098020,-0.017108,-1.577809,-0.017256,-1.550815
3.200000,0.529910,3.301730,-0.017664,-1.681557,-0.017822,-1.651855
3.300000,0.546570,3.469870,-0.018219,-1.767190,-0.018387,-1.734994
3.400000,0.563230,3.646640,-0.018774,-1.857219,-0.018953,-1.822350
3.500000,0.579920,3.803720,-0.019331,-1.937219,-0.019520,-1.899771
3.600000,0.596590,4.037500,-0.019886,-2.056282,-0.020087,-2.015390
3.700000,0.613250,4.234220,-0.020442,-2.156471,-0.020653,-2.112389
3.800000,0.629900,4.414610,-0.020997,-2.248342,-0.021220,-2.201135
3.900000,0.646590,4.566440,-0.021553,-2.325669,-0.021789,-2.275544
